Date,Open,High,Low,Close,Volume,Adj Close,Return
2015-01-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-12,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-13,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-14,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-15,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-19,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-20,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-21,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-22,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-23,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-26,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-28,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-01-30,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-02,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-05,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-06,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-10,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-12,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-13,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-17,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-18,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-19,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-20,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-23,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-24,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-26,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-02-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-02,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-05,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-06,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-10,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-12,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-13,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-17,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-18,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-19,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-20,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-23,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-24,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-26,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-30,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-03-31,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-01,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-02,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-07,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-10,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-17,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-20,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-21,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-22,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-23,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-24,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-28,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-04-30,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-06,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-07,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-12,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-13,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-14,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-15,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-18,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-19,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-20,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-21,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-22,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-26,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-28,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-05-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-02,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-05,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-10,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-12,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-15,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-17,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-18,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-19,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-22,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-23,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-24,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-26,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-06-30,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-02,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-06,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-07,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-10,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-13,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-14,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-15,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-17,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-20,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-21,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-22,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-23,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-24,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-28,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-07-31,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-05,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-06,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-07,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-10,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-13,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-14,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-17,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-18,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-19,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-20,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-21,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-24,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-26,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-28,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-08-31,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-01,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-02,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-07,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-10,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-14,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-15,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-17,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-18,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-21,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-22,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-23,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-24,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-28,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-09-30,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-01,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-02,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-05,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-06,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-07,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-12,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-13,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-14,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-15,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-19,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-20,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-21,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-22,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-26,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-28,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-10-30,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-02,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-05,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-06,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-10,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-12,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-13,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-17,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-18,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-19,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-20,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-23,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-24,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-26,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-11-30,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-01,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-02,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-14,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-15,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-17,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-18,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-21,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-22,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-23,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-24,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-28,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2015-12-30,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-05,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-06,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-07,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-12,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-13,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-14,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-15,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-18,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-19,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-20,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-21,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-22,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-26,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-28,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-01-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-01,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-02,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-05,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-10,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-12,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-15,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-17,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-18,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-19,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-23,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-24,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-26,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-02-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-01,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-02,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-07,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-10,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-14,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-15,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-17,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-18,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-21,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-22,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-23,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-24,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-28,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-30,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-03-31,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-01,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-05,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-07,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-12,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-18,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-19,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-20,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-21,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-22,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-26,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-28,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-04-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-10,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-12,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-13,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-17,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-18,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-19,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-23,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-24,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-26,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-30,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-05-31,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-01,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-02,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-06,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-07,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-10,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-13,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-14,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-15,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-16,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-17,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-20,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-21,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-22,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-23,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-24,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-28,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-06-30,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-05,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-06,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-07,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-12,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-13,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-14,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-15,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-20,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-21,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-22,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-25,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-26,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-27,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-28,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-07-29,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-08-01,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-08-02,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-08-03,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-08-04,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-08-05,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-08-08,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-08-09,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-08-10,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
2016-08-11,10.625,10.625,10.625,10.625,0.0,10.5455,0.0
